symbol,company_name,yahoo,in_nifty50,in_nifty100,in_midcap100,in_smallcap100
SHRIRAMFIN,Shriram Finance Limited,SHRIRAMFIN.NS,1,1,0,0
SHYAMMETL,Shyam Metalics and Energy Limited,SHYAMMETL.NS,0,0,0,1
SIEMENS,Siemens Limited,SIEMENS.NS,0,1,0,0
SIGNATURE,Signatureglobal (India) Limited,SIGNATURE.NS,0,0,0,1
SOLARINDS,Solar Industries India Limited,SOLARINDS.NS,0,1,0,0
SONACOMS,Sona BLW Precision Forgings Limited,SONACOMS.NS,0,0,1,0
SRF,SRF Limited,SRF.NS,0,0,1,0
STARHEALTH,Star Health and Allied Insurance Company Limited,STARHEALTH.NS,0,0,0,1
SUNPHARMA,Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,1,1,0,0
SUPREMEIND,Supreme Industries Limited,SUPREMEIND.NS,0,0,1,0
SUZLON,Suzlon Energy Limited,SUZLON.NS,0,0,1,0
SWANCORP,SWAN CORP LIMITED,SWANCORP.NS,0,0,0,1
SWIGGY,Swiggy Limited,SWIGGY.NS,0,0,1,0
TATACHEM,Tata Chemicals Limited,TATACHEM.NS,0,0,0,1
TATACOMM,Tata Communications Limited,TATACOMM.NS,0,0,1,0
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM.NS,1,1,0,0
TATAELXSI,Tata Elxsi Limited,TATAELXSI.NS,0,0,1,0
TATAPOWER,Tata Power Company Limited,TATAPOWER.NS,0,1,0,0
TATASTEEL,Tata Steel Limited,TATASTEEL.NS,1,1,0,0
TATATECH,Tata Technologies Limited,TATATECH.NS,0,0,1,0
TCS,Tata Consultancy Services Limited,TCS.NS,1,1,0,0
TECHM,Tech Mahindra Limited,TECHM.NS,1,1,0,0
TEJASNET,Tejas Networks Limited,TEJASNET.NS,0,0,0,1
TIINDIA,Tube Investments of India Limited,TIINDIA.NS,0,0,1,0
TITAN,Titan Company Limited,TITAN.NS,1,1,0,0
TMPV,Tata Motors Passenger Vehicles Limited,TMPV.NS,1,1,0,0
TORNTPHARM,Torrent Pharmaceuticals Limited,TORNTPHARM.NS,0,1,0,0
TORNTPOWER,Torrent Power Limited,TORNTPOWER.NS,0,0,1,0
TRENT,Trent Limited,TRENT.NS,1,1,0,0
TRIDENT,Trident Limited,TRIDENT.NS,0,0,0,1
TRITURBINE,Triveni Turbine Limited,TRITURBINE.NS,0,0,0,1
TVSMOTOR,TVS Motor Company Limited,TVSMOTOR.NS,0,1,0,0
ULTRACEMCO,UltraTech Cement Limited,ULTRACEMCO.NS,1,1,0,0
UNIONBANK,Union Bank of India,UNIONBANK.NS,0,0,1,0
UNITDSPR,United Spirits Limited,UNITDSPR.NS,0,1,0,0
UPL,UPL Limited,UPL.NS,0,0,1,0
VBL,Varun Beverages Limited,VBL.NS,0,1,0,0
VEDL,Vedanta Limited,VEDL.NS,0,1,0,0
VMM,Vishal Mega Mart Limited,VMM.NS,0,0,1,0
VOLTAS,Voltas Limited,VOLTAS.NS,0,0,1,0
WAAREEENER,Waaree Energies Limited,WAAREEENER.NS,0,0,1,0
WELCORP,Welspun Corp Limited,WELCORP.NS,0,0,0,1
WHIRLPOOL,Whirlpool of India Limited,WHIRLPOOL.NS,0,0,0,1
WIPRO,Wipro Limited,WIPRO.NS,1,1,0,0
WOCKPHARMA,Wockhardt Limited,WOCKPHARMA.NS,0,0,0,1
YESBANK,Yes Bank Limited,YESBANK.NS,0,0,1,0
ZENSARTECH,Zensar Technologies Limited,ZENSARTECH.NS,0,0,0,1
ZENTEC,Zen Technologies Limited,ZENTEC.NS,0,0,0,1
ZYDUSLIFE,Zydus Lifesciences Limited,ZYDUSLIFE.NS,0,1,0,0
